sector,subsector,field,model_variable,category_value,category_name,gas,gas_name,model_variable_information
AFOLU,Agriculture,demand_agrc_fibers_tonne,Crop Demand,fibers,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_fruits_tonne,Crop Demand,fruits,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_herbs_and_other_perennial_crops_tonne,Crop Demand,herbs_and_other_perennial_crops,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_nuts_tonne,Crop Demand,nuts,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_other_annual_tonne,Crop Demand,other_annual,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_other_woody_perennial_tonne,Crop Demand,other_woody_perennial,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_pulses_tonne,Crop Demand,pulses,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_rice_tonne,Crop Demand,rice,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_sugar_cane_tonne,Crop Demand,sugar_cane,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_tubers_tonne,Crop Demand,tubers,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,demand_agrc_vegetables_and_vines_tonne,Crop Demand,vegetables_and_vines,cat_agriculture,,,Total tonnage of crops demanded
AFOLU,Agriculture,ef_agrc_anaerobicdom_rice_kg_ch4_ha,:math:\text{CH}_4 Crop Anaerobic Decomposition Emission Factor,"('rice', 'rice')",cat_agriculture,ch4,Methane,Annual average :math:`\text{CH}_4` (methane) emitted per ha of crop grown. **Rice** is the only crop that should be non-zero. This will be 0 for most crops (or negligible).
AFOLU,Agriculture,ef_agrc_biomass_bevs_and_spices_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,bevs_and_spices,cat_agriculture,co2,Carbon Dioxide,Annual average :math:`\text{CO}_2` (carbon dioxide) emitted per mass of crop grown due to biomass growth and associated changes in carbon stock. Applies only to perennial woody crops.
AFOLU,Agriculture,ef_agrc_biomass_burning_ch4,:math:\text{CH}_4 Crop Biomass Burning Emission Factor,"('', '')",cat_agriculture,ch4,Methane," | Annual average :math:`\text{CH}_4` (methane) emitted per mass of crop residue burned (dimensionless).
 | 
 | See V4, C2, Equation 2.27 and Table 2.5 for equation and default emission factors."
AFOLU,Agriculture,ef_agrc_biomass_burning_n2o,:math:\text{N}_2\text{O} Crop Biomass Burning Emission Factor,"('', '')",cat_agriculture,n2o,Nitrus Oxide," | Annual average :math:`\text{N}_2\text{O}` (nitrous oxide) emitted per mass of crop residue burned (dimensionless).
 | 
 | See V4, C2, Equation 2.27 and Table 2.5 for equation and default emission factors."
AFOLU,Agriculture,ef_agrc_biomass_fruits_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,fruits,cat_agriculture,co2,Carbon Dioxide,Annual average :math:`\text{CO}_2` (carbon dioxide) emitted per mass of crop grown due to biomass growth and associated changes in carbon stock. Applies only to perennial woody crops.
AFOLU,Agriculture,ef_agrc_biomass_nuts_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,nuts,cat_agriculture,co2,Carbon Dioxide,Annual average :math:`\text{CO}_2` (carbon dioxide) emitted per mass of crop grown due to biomass growth and associated changes in carbon stock. Applies only to perennial woody crops.
AFOLU,Agriculture,ef_agrc_biomass_other_woody_perennial_tonne_co2_ha,:math:\text{CO}_2 Crop Biomass Emission Factor,other_woody_perennial,cat_agriculture,co2,Carbon Dioxide,Annual average :math:`\text{CO}_2` (carbon dioxide) emitted per mass of crop grown due to biomass growth and associated changes in carbon stock. Applies only to perennial woody crops.
AFOLU,Agriculture,elasticity_agrc_bevs_and_spices_demand_to_income,Crop Demand Income Elasticity,bevs_and_spices,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_cereals_demand_to_income,Crop Demand Income Elasticity,cereals,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_fibers_demand_to_income,Crop Demand Income Elasticity,fibers,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_fruits_demand_to_income,Crop Demand Income Elasticity,fruits,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_herbs_and_other_perennial_crops_demand_to_income,Crop Demand Income Elasticity,herbs_and_other_perennial_crops,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_nuts_demand_to_income,Crop Demand Income Elasticity,nuts,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_other_annual_demand_to_income,Crop Demand Income Elasticity,other_annual,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_other_woody_perennial_demand_to_income,Crop Demand Income Elasticity,other_woody_perennial,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_pulses_demand_to_income,Crop Demand Income Elasticity,pulses,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_rice_demand_to_income,Crop Demand Income Elasticity,rice,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_sugar_cane_demand_to_income,Crop Demand Income Elasticity,sugar_cane,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_tubers_demand_to_income,Crop Demand Income Elasticity,tubers,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,elasticity_agrc_vegetables_and_vines_demand_to_income,Crop Demand Income Elasticity,vegetables_and_vines,cat_agriculture,,,"Elasticity of demand for crop in category ``$CAT-AGRICULTURE$`` to the changes in income, whose proxy is gdp/capita"
AFOLU,Agriculture,emission_co2e_ch4_agrc_anaerobicdom_rice,:math:\text{CH}_4 Emissions from Rice,"('rice', 'rice')",cat_agriculture,ch4,Methane,Captures :math:`\text{CH}_4` emissions from rice paddies
AFOLU,Agriculture,emission_co2e_ch4_agrc_biomass_burning,:math:\text{CH}_4 Emissions from Biomass Burning,"('', '')",cat_agriculture,ch4,Methane,
AFOLU,Agriculture,emission_co2e_co2_agrc_biomass_bevs_and_spices,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,bevs_and_spices,cat_agriculture,co2,Carbon Dioxide,
AFOLU,Agriculture,emission_co2e_co2_agrc_biomass_fruits,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,fruits,cat_agriculture,co2,Carbon Dioxide,
AFOLU,Agriculture,emission_co2e_co2_agrc_biomass_nuts,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,nuts,cat_agriculture,co2,Carbon Dioxide,
AFOLU,Agriculture,emission_co2e_co2_agrc_biomass_other_woody_perennial,:math:\text{CO}_2 Emissions from Biomass Carbon Stock Changes,other_woody_perennial,cat_agriculture,co2,Carbon Dioxide,
AFOLU,Agriculture,emission_co2e_co2_agrc_soil_carbon_organic_soils,:math:\text{CO}_2 Emissions from Soil Carbon in Organic Soils,"('', '')",cat_agriculture,co2,Carbon Dioxide,Emissions of :math:`\text{CO}_2` in from drained organic soils.
AFOLU,Agriculture,emission_co2e_n2o_agrc_biomass_burning,:math:\text{N}_2\text{O} Emissions from Biomass Burning,"('', '')",cat_agriculture,n2o,Nitrus Oxide,
AFOLU,Agriculture,emission_co2e_n2o_agrc_crop_residues,:math:\text{N}_2\text{O} Emissions from Crop Residues,"('', '')",cat_agriculture,n2o,Nitrus Oxide,
AFOLU,Agriculture,exports_agrc_bevs_and_spices_tonne,Agriculture Equivalent Exports,bevs_and_spices,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_cereals_tonne,Agriculture Equivalent Exports,cereals,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_fibers_tonne,Agriculture Equivalent Exports,fibers,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_fruits_tonne,Agriculture Equivalent Exports,fruits,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_herbs_and_other_perennial_crops_tonne,Agriculture Equivalent Exports,herbs_and_other_perennial_crops,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_nuts_tonne,Agriculture Equivalent Exports,nuts,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_other_annual_tonne,Agriculture Equivalent Exports,other_annual,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_other_woody_perennial_tonne,Agriculture Equivalent Exports,other_woody_perennial,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_pulses_tonne,Agriculture Equivalent Exports,pulses,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_rice_tonne,Agriculture Equivalent Exports,rice,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_sugar_cane_tonne,Agriculture Equivalent Exports,sugar_cane,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_tubers_tonne,Agriculture Equivalent Exports,tubers,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exports_agrc_vegetables_and_vines_tonne,Agriculture Equivalent Exports,vegetables_and_vines,cat_agriculture,,,Exports of agricultural equivalent products (mass of crops).
AFOLU,Agriculture,exportsadj_agrc_bevs_and_spices_tonne,Adjusted Agriculture Equivalent Exports,bevs_and_spices,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_cereals_tonne,Adjusted Agriculture Equivalent Exports,cereals,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_fibers_tonne,Adjusted Agriculture Equivalent Exports,fibers,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_fruits_tonne,Adjusted Agriculture Equivalent Exports,fruits,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_herbs_and_other_perennial_crops_tonne,Adjusted Agriculture Equivalent Exports,herbs_and_other_perennial_crops,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_nuts_tonne,Adjusted Agriculture Equivalent Exports,nuts,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_other_annual_tonne,Adjusted Agriculture Equivalent Exports,other_annual,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_other_woody_perennial_tonne,Adjusted Agriculture Equivalent Exports,other_woody_perennial,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_pulses_tonne,Adjusted Agriculture Equivalent Exports,pulses,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_rice_tonne,Adjusted Agriculture Equivalent Exports,rice,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_sugar_cane_tonne,Adjusted Agriculture Equivalent Exports,sugar_cane,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_tubers_tonne,Adjusted Agriculture Equivalent Exports,tubers,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,exportsadj_agrc_vegetables_and_vines_tonne,Adjusted Agriculture Equivalent Exports,vegetables_and_vines,cat_agriculture,,,Final total endogenous exports following adjustments to land use (reallocation and/or import/export loss)
AFOLU,Agriculture,frac_agrc_agriculture_production_lost,Fraction of Food Produced Lost Before Consumption,"('', '')",cat_agriculture,,,Fraction of food that is produced that is lost or wasted before selling. This fraction represents production-side waste (post-yield) and does not include waste by consumers.
AFOLU,Agriculture,frac_agrc_bevs_and_spices_cl1_temperate,Agriculture Fraction Temperate,bevs_and_spices,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_bevs_and_spices_cl1_tropical,Agriculture Fraction Tropical,bevs_and_spices,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_bevs_and_spices_cl2_dry,Agriculture Fraction Dry,bevs_and_spices,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_bevs_and_spices_cl2_wet,Agriculture Fraction Wet,bevs_and_spices,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_cereals_cl1_temperate,Agriculture Fraction Temperate,cereals,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_cereals_cl1_tropical,Agriculture Fraction Tropical,cereals,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_cereals_cl2_dry,Agriculture Fraction Dry,cereals,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_cereals_cl2_wet,Agriculture Fraction Wet,cereals,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_combustion_factor_cereals,AGRC Combustion Factor,cereals,cat_agriculture,,,"The combustion factor :math:`C_f` gives the ""proportion of prefire fuel biomass consumed"" by fires. See Table 2.6, IPCC GNGHGI (2019R). "
AFOLU,Agriculture,frac_agrc_combustion_factor_other_annual,AGRC Combustion Factor,other_annual,cat_agriculture,,,"The combustion factor :math:`C_f` gives the ""proportion of prefire fuel biomass consumed"" by fires. See Table 2.6, IPCC GNGHGI (2019R). "
AFOLU,Agriculture,frac_agrc_combustion_factor_pulses,AGRC Combustion Factor,pulses,cat_agriculture,,,"The combustion factor :math:`C_f` gives the ""proportion of prefire fuel biomass consumed"" by fires. See Table 2.6, IPCC GNGHGI (2019R). "
AFOLU,Agriculture,frac_agrc_combustion_factor_rice,AGRC Combustion Factor,rice,cat_agriculture,,,"The combustion factor :math:`C_f` gives the ""proportion of prefire fuel biomass consumed"" by fires. See Table 2.6, IPCC GNGHGI (2019R). "
AFOLU,Agriculture,frac_agrc_combustion_factor_tubers,AGRC Combustion Factor,tubers,cat_agriculture,,,"The combustion factor :math:`C_f` gives the ""proportion of prefire fuel biomass consumed"" by fires. See Table 2.6, IPCC GNGHGI (2019R). "
AFOLU,Agriculture,frac_agrc_crop_demand_imported_bevs_and_spices,Fraction of Agriculture Demand Imported,bevs_and_spices,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_cereals,Fraction of Agriculture Demand Imported,cereals,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_fibers,Fraction of Agriculture Demand Imported,fibers,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_fruits,Fraction of Agriculture Demand Imported,fruits,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_herbs_and_other_perennial_crops,Fraction of Agriculture Demand Imported,herbs_and_other_perennial_crops,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_nuts,Fraction of Agriculture Demand Imported,nuts,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_other_annual,Fraction of Agriculture Demand Imported,other_annual,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_other_woody_perennial,Fraction of Agriculture Demand Imported,other_woody_perennial,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_pulses,Fraction of Agriculture Demand Imported,pulses,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_rice,Fraction of Agriculture Demand Imported,rice,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_sugar_cane,Fraction of Agriculture Demand Imported,sugar_cane,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_tubers,Fraction of Agriculture Demand Imported,tubers,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_demand_imported_vegetables_and_vines,Fraction of Agriculture Demand Imported,vegetables_and_vines,cat_agriculture,,," | Fraction of total demand for crop products that is met by imports.
 | 
 | Conceptually, represented as the % of demand for total crop products that would be needed to produce all consumed crop products."
AFOLU,Agriculture,frac_agrc_crop_residues_burned,Fraction of Residues Burned,"('', '')",cat_agriculture,,," | Fraction of residues burned. NOTE: whatever is not removed or burned is assumed to be left as inputs to crops.
 | 
 | Total of Fraction of Residues Removed and Fraction of Residues Burned must be less than or equal to 1."
AFOLU,Agriculture,frac_agrc_crop_residues_removed,Fraction of Residues Removed,"('', '')",cat_agriculture,,," | Fraction of residues removed. NOTE: whatever is not removed or burned is assumed to be left as inputs to crops.
 | 
 | Total of Fraction of Residues Removed and Fraction of Residues Burned must be less than or equal to 1."
AFOLU,Agriculture,frac_agrc_dry_matter_of_harvest_cereals,Dry Matter Fraction of Harvested Crop,cereals,cat_agriculture,,,See :math:`DRY` in Equation 11.7 in IPCC GNGHGI and Table 11.1A (2019R)
AFOLU,Agriculture,frac_agrc_dry_matter_of_harvest_other_annual,Dry Matter Fraction of Harvested Crop,other_annual,cat_agriculture,,,See :math:`DRY` in Equation 11.7 in IPCC GNGHGI and Table 11.1A (2019R)
AFOLU,Agriculture,frac_agrc_dry_matter_of_harvest_pulses,Dry Matter Fraction of Harvested Crop,pulses,cat_agriculture,,,See :math:`DRY` in Equation 11.7 in IPCC GNGHGI and Table 11.1A (2019R)
AFOLU,Agriculture,frac_agrc_dry_matter_of_harvest_rice,Dry Matter Fraction of Harvested Crop,rice,cat_agriculture,,,See :math:`DRY` in Equation 11.7 in IPCC GNGHGI and Table 11.1A (2019R)
AFOLU,Agriculture,frac_agrc_dry_matter_of_harvest_tubers,Dry Matter Fraction of Harvested Crop,tubers,cat_agriculture,,,See :math:`DRY` in Equation 11.7 in IPCC GNGHGI and Table 11.1A (2019R)
AFOLU,Agriculture,frac_agrc_fibers_cl1_temperate,Agriculture Fraction Temperate,fibers,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_fibers_cl1_tropical,Agriculture Fraction Tropical,fibers,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_fibers_cl2_dry,Agriculture Fraction Dry,fibers,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_fibers_cl2_wet,Agriculture Fraction Wet,fibers,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_fruits_cl1_temperate,Agriculture Fraction Temperate,fruits,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_fruits_cl1_tropical,Agriculture Fraction Tropical,fruits,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_fruits_cl2_dry,Agriculture Fraction Dry,fruits,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_fruits_cl2_wet,Agriculture Fraction Wet,fruits,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_herbs_and_other_perennial_crops_cl1_temperate,Agriculture Fraction Temperate,herbs_and_other_perennial_crops,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_herbs_and_other_perennial_crops_cl1_tropical,Agriculture Fraction Tropical,herbs_and_other_perennial_crops,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Agriculture Fraction Temperate and Agriculture Fraction Tropical must sum to 1"
AFOLU,Agriculture,frac_agrc_herbs_and_other_perennial_crops_cl2_dry,Agriculture Fraction Dry,herbs_and_other_perennial_crops,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application. 
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
AFOLU,Agriculture,frac_agrc_herbs_and_other_perennial_crops_cl2_wet,Agriculture Fraction Wet,herbs_and_other_perennial_crops,cat_agriculture,,," | Used to calculate :math:`\text{N}_2\text{O}` emissions from fertilizer application
 | 
 | Agriculture Fraction Dry and Agriculture Fraction Wet must sum to 1"
